Participating unions,Total elections,Percent won,Elections won by unions — Total,Elections won by unions — AFL-CIO unions,Elections won by unions — Teamsters,Elections won by unions — Other national unions,Elections won by unions — Other local unions,Elections in which no representative chosen,Employees eligible to vote — Total,Employees eligible to vote — In elections won,Employees eligible to vote — In units won by AFL-CIO unions,Employees eligible to vote — In units won by Teamsters,Employees eligible to vote — In units won by Other national unions,Employees eligible to vote — In units won by Other local unions,In elections where no representative chosen
Teamsters v. Teamsters v. Teamsters,1,100.0,1,,1,,,,30,30,,30,,,
3 (or more)-union elections,47,89.9,38,18,12,2,6,9,7656,6276,2433,2807,270,766,1380
All representation elections,9369,51.4,4786,2581,1542,316,277,4583,454646,233874,148205,53438,23116,19015,307571
B. Elections in RC cases — AFL-CIO,3509,63.4,2224,2224,,,,1285,291269,113177,113177,,,,178092
Teamsters,2704,50.2,1358,,1358,,,1346,85398,32556,,32556,,,54132
Other national unions,400,60.5,242,,,242,,158,26510,14703,,,14703,,8516
Other local unions,388,60.4,174,,,,174,152,,,,,,,9372
1-union elections — Total,7945,50.9,4047,2224,1358,242,174,3899,435968,158932,113177,32556,14703,8516,267916
AFL-CIO v. AFL-CIO (2-union),139,65.5,91,91,0,0,0,48,14419,7270,7270,0,0,0,7149
AFL-CIO v. Teamsters (2-union),174,75.3,131,67,64,0,0,43,9891,7054,2852,4202,0,0,2358
AFL-CIO v. national (2-union),82,59.8,37,27,0,10,0,31,13272,11072,6200,0,4872,0,1754
AFL-CIO v. local (2-union),14,78.6,11,9,0,0,2,3,841,626,525,0,0,101,215
Teamsters v. national (2-union),35,91.4,32,0,27,5,0,2,2250,2118,0,1952,192,0,132
Teamsters v. local (2-union),7,71.4,5,0,3,0,2,2,1082,950,0,192,0,758,132
National v. national (2-union),5,60.0,3,0,0,3,0,2,750,646,0,0,646,0,104
Local v. local (2-union),12,100.0,12,0,0,0,12,0,,,,,,,
2-union elections — Total,540,78.1,422,205,88,57,72,118,62535,42377,20667,7188,5662,8860,20158
AFL-CIO v. AFL-CIO v. AFL-CIO (3-union),9,77.8,7,7,0,0,0,2,365,319,319,0,0,0,246
