row_label,col_1
23-R-1611,"Castner Garge, Ltd."
15-R-1413 2-11-5983,Cathey Lumber Co. Catskill Metal Works
2-R-6622,"Catty, H. D., Corp., of New York."
11-11-1002,Cavalier Garment Co
5-R-2273,"Chesapeake Corp. of Virginia,"
9-R-1752,The. Cherry River Boom &Lumber Co.'s Railroad.
9-R-1771,Cherry River Boom &Lumber Co.
6-11-1325,Chicago Pneumatic Tool Co.
9-R-2133,Cincinnati Fly Screen Co.
23-R-132,"City Mill Co., Inc."
5-11-1940,Clinchfield Coal Corp.
13-R-3451,Close &Co.
20-11-1603,Coast Drapery Mfg. Co.
23-11-112,"Coca-Cola Bottling Co. of Honolulu, Ltd"
21-R-2967,Cole of California (Ventura Plant).
1-1172990,Colonial Beacon Oil Co.
1-11-3083,"Colonial Optical Co., Inc."
13-11-3265,Columbia Envelope Co.
20-R-1628,Columbia Iron Mining Co.
5-11-2368,Columbia Panel Manufacturing Co.
9-R-1997,Columbus &Southern Ohio Electric Co.
13-11-3181,Commonwealth Edison Co.
21-11-2853,Consolidated Vultee Aircraft Corp Continental Trailways Bus System.
16-R-1556 21-11-2841,Cook Heat Treating Corp.
9-R-2076,"Crane &Reed Casket Co., the. Crane &Reed Casket . Co., The."
9-11-2077 9-11-1943,Crescent Tool Co. Co.
1-R-3050,Crosby Steam Gauge &Valve
5-11-2198,"Crosse &Blackwell Co., The."
13-11-3105 1711-2874,Crown Can Co. Cudahy Packing Co.
1-11-2878,
,Cudahy Packing Co.
a-11-5974,Cudahy Packing Co.
2-R-6035,Cudahy Packing Co. Cudahy Packing Co.
10-11-1631,Cudahy Packing Co.
13-11-3475 15-11-1549,Cudahy Packing Co.
18-R-1333 18-R-1344,Cudahy Packing CO. Cudahy Packing Co.
18-11-1438,Cudahy Packing Co.
,Bros. Co.
3-11-1056 3-R-1133,Curtice Curtice Bros. Co.
.4-R-1723,Curtice Publishing Co. Made Paper
2-11-6071,"Custom Bag, Inc."
16-11-1687,Dallas Power &Light Co.
16-11-1755,"Dallas Power &Light Co. Darling, L. A., Co."
7-11-2214 5-R-1992,"Daughtrey-Davis Co., Inc. Dodge, Horace E., Boat Domestic Coke Corp."
5-11-1957 6-11-1232,&Plane Corp. &Co.
,"du Pont, E. I., de Nemours"
5-11-1758,"du Pont, E. I., de Nemours"
5-11-1977,"&Co du Pont, E. I., de Nemours &Co."
5-11-1980 5-11-2031,"du Pont, E. I., de Nemours &Co."
5-R-2032 5-R-2042,"du Pont, E. I., de Nemours &Co du Pont, E. I., de Nemours"
,"du Pont, E. 1., de Nemours"
5-11-2120,&Co. &Co.
10-R-1510,"du Pont, E. I., de Nemours &Co."
10-11-1595,"du Pont, E. I., de Nemours &Co. Duro Metal Products Co."
13-11-3620,
,"Earle Gear &Machine Co.,"
,The.
4-11-2082 8-11-2179,"Efficient Tool &Die Co., The."
1-11-2477,
,Electric Boat Co.
