Affiliation of union holding union-shop contract,Number of polls — Total,Resulting in deauthorization — Number,Resulting in deauthorization — Percent of total,Resulting in continued authorization — Number,Resulting in continued authorization — Percent of total,Employees involved (number eligible to vote) — Total eligible,In polls Resulting in deauthorization — Number,In polls Resulting in deauthorization — Percent of total,In polls Resulting in continued authorization — Number,In polls Resulting in continued authorization — Percent of total,Valid votes cast — Total,Valid votes cast — Percent of total eligible,Cast for deauthorization — Number,Cast for deauthorization — Percent of total eligible
Total,97,57,58.8,40,41.2,6518,2430,37.3,4088,62.7,5335,81.9,2308,35.4
AFL-CIO unions,61,33,54.1,28,45.9,3805,709,18.6,3096,81.4,3262,85.7,1674,44.0
Teamsters,20,12,60.0,8,40.0,1062,449,42.3,613,57.7,925,87.1,308,29.0
Other national unions,8,6,75.0,2,25.0,446,222,49.8,224,50.2,396,88.8,229,51.3
Other local unions,8,6,75.0,2,25.0,532,165,31.0,367,69.0,392,73.7,97,18.2
