row_label,col_1,col_2,col_3,col_4,col_5,col_6
Complaints issued,308,286,308,286,,
Notices of hearing issued,2235,1688,,,2235,1688
Cases heard,2440,1703,235,215,2205,1458
Intermediate Reports or proposed findings_,22.5,211,225,211,,
Decisions issued,2217,1724,186,175,2031,1549
Decisions and Orders,129,119,129,119,,
Decisions and Consent Orders,57,56,57,56,,
Elections directed,1552,1172,,,1552,1172
Certifications or dismissals after stip- ulated elections,232,278,,,282,278
Certifications or dismissals on the record,197,99,,,197,99
