row_label,col_1,Total,AFL-CIO Unions,Other National Unions,Other Local Unions,Individuals,Employers
All cases,All cases,,,,,,
"Pending October 1, 1998","Pending October 1, 1998",34630,18771,2947,1829,9745,1338
Received fiscal 1999,Received fiscal 1999,33232,17041,2931,1450,10289,1521
On docket fiscal 1999,On docket fiscal 1999,67862,35812,5878,3279,20034,2859
Closed fiscal 1999,Closed fiscal 1999,35806,18214,3282,1526,10985,1799
"Pending September 30, 1999","Pending September 30, 1999",32056,17598,2596,1753,9049,1060
Unfair labor practice cases,Unfair labor practice cases,,,,,,
"Pending October 1, 1998","Pending October 1, 1998",32106,17310,2602,1639,9369,1186
Received fiscal 1999,Received fiscal 1999,27450,13437,2019,1118,9511,1365
On docket fiscal 1999,On docket fiscal 1999,59556,30747,4621,2757,18880,2551
Closed fiscal 1999,Closed fiscal 1999,29741,14474,2328,1164,10145,1630
"Pending September 30, 1999","Pending September 30, 1999",29815,16273,2293,1593,8735,921
Representation cases,Representation cases,,,,,,
"Pending October 1, 1998","Pending October 1, 1998",2250,1378,311,173,311,77
Received fiscal 1999,Received fiscal 1999,5462,3496,861,306,686,113
On docket fiscal 1999,On docket fiscal 1999,7712,4874,1172,479,997,190
Closed fiscal 1999,Closed fiscal 1999,5708,3620,895,339,735,119
"Pending September 30, 1999","Pending September 30, 1999",2004,1254,277,140,262,71
Union-shop deauthorization cases,Union-shop deauthorization cases,,,,,,
"Pending October 1, 1998","Pending October 1, 1998",74,0,9,0,65,0
Received fiscal 1999,Received fiscal 1999,110,0,18,0,92,0
On docket fiscal 1999,On docket fiscal 1999,184,0,27,0,157,0
Closed fiscal 1999,Closed fiscal 1999,128,0,23,0,105,0
"Pending September 30, 1999","Pending September 30, 1999",56,0,4,0,52,0
Amendment of certification cases,Amendment of certification cases,,,,,,
"Pending October 1, 1998","Pending October 1, 1998",8,4,0,1,0,3
Received fiscal 1999,Received fiscal 1999,15,10,2,1,0,2
On docket fiscal 1999,On docket fiscal 1999,23,14,2,2,0,5
Closed fiscal 1999,Closed fiscal 1999,12,7,0,2,1,2
"Pending September 30, 1999","Pending September 30, 1999",11,7,2,0,0,3
Unit clarification cases,Unit clarification cases,,,,,,
"Pending October 1, 1998","Pending October 1, 1998",192,79,25,16,0,72
Received fiscal 1999,Received fiscal 1999,195,98,31,25,0,41
On docket fiscal 1999,On docket fiscal 1999,387,177,56,41,0,113
Closed fiscal 1999,Closed fiscal 1999,217,113,34,22,0,48
"Pending September 30, 1999","Pending September 30, 1999",170,64,22,19,0,65
