row_label,Participating unions,Total elections,Percent won,Total won,AFL-CIO unions,Teamsters,Other national unions,Other local unions,No representative chosen,Total eligible,AFL-CIO unions,Teamsters,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Elections in which no representative chosen
AFL-CIO,283,24.6,59,59,,,,224,12840,5799,,5799,,,,,7041
Teamsters,98,26.6,26,,26,,,72,2944,932,,,932,,,,1712
Other national unions,32,34.4,11,,,11,,11,2657,1888,,,,1889,,,769
Other local unions,11,16.7,2,,,,2,9,218,52,,,,,52,,166
1-union elections,424,25.9,110,59,28,11,2,314,18353,8672,5799,932,1889,52,,,9687
Total RD elections,451,29.7,134,79,28,13,,,,28802,9651,,7553,2113,290,,
