Division and State,All cases,Unfair labor practice cases / AII C,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Representation cases / AII R,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
Maine,178,159,131,28,0,0,0,0,17,11,1,5,0,0,2
New England (division total),2554,2244,1864,335,39,13,1,5,267,223,6,38,0,5,37
New York,4442,3843,2702,950,82,37,3,4,504,388,20,85,1,5,48
Other states/divisions (catch-all),,,,,,,,,,,,,,,
