row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Pending October 1, 1995",".24,850",16868,1196,1264,5522,
Received fiscal 1996,25752,17876,621,1166,6089,
On docket fiscal 1996,50602,34744,1817,2430,11611,
Closed fiscal 1996,22703,15559,640,987,5517,
"Pending September 30, 1996",27899,19185,1177,1443,6094,
,CB cases,CB cases,CB cases,CB cases,CB cases,CB cases
"Pending October 1, 1995",".4,238",83,2,ao,3395,718
Received fiscal 1996,6491,64,2,43,5680,702
On docket fiscal 1996,10729,147,4,83,9075,1420
Closed fiscal 1996,5942,61,2,44,5167,668
"Pending September 30, 1996",4787,86,2,39,3908,752
,CC cases,CC cases,CC cases,CC cases,CC cases,CC cases
"Pending October 1, 1995",.408,3,3,4,.0,398
Received fiscal 1996,507,4,,4,,499
On docket fiscal 1996,915,7,3,8,,", 897"
Closed fiscal 1996,482,5,3,4,,470
"Pending September 30, 1996",433,2,,4,,427
,CD cases,CD cases,CD cases,CD cases,CD cases,
"Pending October 1, 1995",.121,4,2,1,,114
Received fiscal 1996,199,20,,4,,175
On docket fiscal 1996,320,24,2,5,,289
Closed fiscal 1996,194,19,2,4,,169
"Pending September 30, 1996",126,5,,1,,120
,CE cases,CE cases,CE cases,CE cases,CE cases,CE cases
"Pending October 1, 1995",34,,,2,1,31
Received fiscal 1996,44,2,,,3,38
On docket fiscal 1996,78,2,,2,4,69
Closed fiscal 1996,35,,,2,,32
"Pending September 30, 1996",43,2,,,4,37
,CO cases,CO cases,CO cases,CO cases,CO cases,CO cases
"Pending October 1, 1995",11,,,,,11
Received fiscal 1996,29,,,,,28
On docket fiscal 1996,ao,,,,,39
Closed fiscal 1996,25,,,,,24
"Pending September 30, 1996",,,,,,15
,CP cases,CP cases,CP cases,CP cases,CP cases,CP cases
"Pending October 1, 1995",.67,2,,2,,63
Received fiscal 1996,85,,,3,,82
On docket fiscal 1996,152,2,,5,,145
Closed fiscal 1996,104,,,3,,101
"Pending September 30, 1996",,2,,2,,44
