Circuit courts of appeals (headquarters),Total fiscal 1984,Total fiscal years 1979-1983 cumulative,Affirmed in full — Fiscal 1984 Number,Affirmed in full — Fiscal 1984 Percent,Affirmed in full — Cumulative 1979-1983 Number,Affirmed in full — Cumulative 1979-1983 Percent,Modified — Fiscal 1984 Number,Modified — Fiscal 1984 Percent,Modified — Cumulative 1979-1983 Number,Modified — Cumulative 1979-1983 Percent,Remanded in full — Fiscal 1984 Number,Remanded in full — Fiscal 1984 Percent,Remanded in full — Cumulative 1979-1983 Number,Remanded in full — Cumulative 1979-1983 Percent,Affirmed in part and remanded in part — Fiscal 1984 Number,Affirmed in part and remanded in part — Fiscal 1984 Percent,Affirmed in part and remanded in part — Cumulative 1979-1983 Number,Affirmed in part and remanded in part — Cumulative 1979-1983 Percent,Set aside — Fiscal 1984 Number,Set aside — Fiscal 1984 Percent,Set aside — Cumulative 1979-1983 Number,Set aside — Cumulative 1979-1983 Percent
Total all circuits,259,2051,175,67.6,1340,65.3,22,8.5,222,10.8,22,8.5,130,6.3,9,3.5,57,2.8,27,10.4,302,14.7
"1. Boston, MA",6,93,4,66.7,59,63.4,0,0.0,13,14.0,1,16.7,5,5.4,0,0.0,3,3.2,1,16.7,13,14.0
"2. New York, NY",29,143,23,79.4,94,65.8,2,6.9,17,11.9,2,6.9,7,4.9,0,0.0,4,2.8,2,6.9,21,14.7
"3. Phila, PA",22,196,18,81.9,139,71.0,1,4.5,23,11.7,0,0.0,11,5.6,0,0.0,8,4.1,3,13.6,15,7.7
"4. Richmond, VA",12,165,6,50.0,96,58.2,4,33.3,24,14.5,2,16.7,8,4.8,0,0.0,11,6.7,0,0.0,26,15.8
"Circuits 5-11 (New Orleans, Cincinnati, Chicago, St. Louis, San Francisco, Denver, Atlanta, DC)",,,,,,,,,,,,,,,,,,,,,,
