Method and stage of disposition,All R cases — Number,All R cases — Percent,RC cases — Number,RC cases — Percent,RM cases — Number,RM cases — Percent,RD cases — Number,RD cases — Percent,UD cases — Number,UD cases — Percent
"Total, all",12896,100.0,10912,100.0,1077,100.0,907,100.0,163,100.0
Certification issued — Total,8314,66.0,6533,69.3,542,50.3,407,44.9,97,59.5
After Consent election — Total,1953,16.1,1710,15.7,117,10.9,128,13.9,29,17.5
After Stipulated election — Total,4925,38.1,4267,40.0,331,30.7,210,23.1,32,19.6
After Expedited election — Total,26,0.2,26,,,,,,,
After Regional director-directed election — Total,1527,11.8,1306,12.6,88,8.2,87,9.6,36,22.1
After Board-directed election — Total,88,0.7,83,0.8,5,0.5,,,,
By withdrawal — Total,3233,25.1,2655,23.9,348,32.2,211,23.3,19,
By dismissal — Total,1149,8.9,742,6.8,159,17.5,218,24.0,18,11.0
