row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Arizona,441,392,278,103,8,0,1,0,2,45,27,8,10,0,0,4
California,5867,4777,3061,1352,270,19,17,1,57,995,585,165,245,36,2,57
Hawaii,167,1 11,69,36,6,0,0,0,0,45,26,3,16,2,8,1
Guam,10,2,2,0,0,0,0,0,0,8,8,o,o,o,o,0
Nevada,376,311,205,77,18,1,1,0,9,61,37,4,20,0,0,4
Region IX,6861,5593,3615,1.568,302,20,19,1,68,1154,683,180,291,38,10,66
Alaska,259,206,133,65,6,1,0,0,1,46,35,4,7,0,0,7
Idaho,123,92,40,34,2,16,0,0,0,26,15,3,8,1,0,4
Oregon,602,422,332,75,13,0,0,0,2,159,86,20,53,6,4,11
Washington,1128,843,555,251,22,6,3,1,5,255,124,29,102,17,0,13
Region X,2112,1563,1060,425,43,23,3,1,8,486,260,56,170,24,4,35
"Total, all States and areas",42322,34435,24084,8496,1206,298,67,25,259,7296,5131,525,1640,209,27,355
