row_label,col_1,col_2,col_3,col_4
Cases dispored of before issuance of complaint:,,,,
By settlement,1003,147590,32.1,60.1
By withdrawal of charge,422,55734,13.5,25.3
By refusal to issue complaint,234,26309,7.4,14.0
By transfer,9,2626,.2,
Total disposed of before issuance of complaint_,1008,232265,53.8,100.0
Cases disposed of after issuance of complaint:,,,,
By consolidation,81,,. 0,33.0
By settlement before hearing,15,972,,16.0
By settlement during hearing,11,907,,11.7
By settlement after hearing,15,8979,g,16.0
By dismissal after hearing by Board or trial examiners,8,850,,8.5
By withdrawal of charges after hearing,3,1327,(1,3.1
By intermediate report finding no violation,2,21,(3,2.1
By compliance with interinddiate report,8,804,,6.4
By compliance with decision or order,3,3961,9,3.1
Total disposed of after issuance of complaint,94,17621,3.0,100.0
Cases pending:,,,,
Before hearing,1276,662880,40.8,93.6
After hearing:,,,,
Awaiting intermediate report,19,8796,(1),4
Awaiting decision,31,8689,2,2.3
Awaiting compliance with cease and desist orders_,36,14.336,1.0,2.6
Total cases pending,1362,694720,43.6,100.0
Total complaint oases,8124,944006,100.0,
