row_label,col_1,col_2,col_3,col_4
"2-CU-337, 338","CIO-Retail & Wholesale Employees, District 65 (Cowan Publishing Corp and Circulation Associates)","June 17,1955",10 (1),
"21-CC-198, 200","AFL-Engineers, Operating, Local 12 (Crook Co and Shepherd Machinery Co)","June 17,1955",10 (I),
10-CC-99,"AFL-Bakery Workers, Local 25 (King's Bakery, Inc.).","June 21, 1955",10 (1),"June 28,1955"
