row_label,Case No.,Union and company,Date petition for injunction filed,Type of item,Temporary restraining order / Date issued,Temporary restraining order / Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed or dissolved,Date Board decision and order
16-CA-1356,16-CA-1356,Del-Tex Optical Co. (Wilbe B. Green),"June 6, 1960",,,,,,,
19-CC-137,19-CC-137,"Electrical Workers Local 73 & Northeastern Washington-Northern Idaho Building & Construction Trades Council (Northwest Construction of Washington, Inc.)","June 8, 1960",,,,,,"June 23, 1960",
5-CC-124,5-CC-124,"Plumbers, Local 5 (Arthur Venneri Co.)","June 13, 1960",,"June 13, 1960","June 17, 1960","June 17, 1960",,,Withdrawn
Remaining ~22 cases on this page,,,,,,,,,,
