Union affiliation,Elections participated in — Total,Elections participated in — Resulting in certification — Number,Elections participated in — Resulting in certification — Percent of total,Elections participated in — Resulting in decertification — Number,Elections participated in — Resulting in decertification — Percent of total,Employees involved in elections (number eligible to vote) — Total eligible,Employees involved — Resulting in certification — Number,Employees involved — Resulting in certification — Percent of total eligible,Employees involved — Resulting in decertification — Number,Employees involved — Resulting in decertification — Percent of total eligible,Valid votes cast — Total,Valid votes cast — Percent of total eligible,Valid votes cast — Cast for the union — Number,Valid votes cast — Cast for the union — Percent of total cast
Total,285,99,34.7,186,65.3,19253,12323,64.0,6930,36.0,16781,87.2,9416,56.1
AFL-CIO,192,72,37.5,120,62.5,14094,9850,69.9,4244,30.1,12365,87.7,7129,57.7
Unaffiliated,93,27,29.0,66,71.0,5159,2473,47.9,2686,52.1,4416,85.6,2287,51.8
