Industrial group,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA cases,Unfair labor practice cases / CB cases,Unfair labor practice cases / CC cases,Unfair labor practice cases / CD cases,Unfair labor practice cases / CE cases,Unfair labor practice cases / CP cases,Representation cases / All R cases,Representation cases / RC cases,Representation cases / RM cases,Representation cases / RD cases
Total,35282,14166,9550,2753,1142,304,63,354,11116,9562,875,679
Manufacturing,12670,6644,5223,1026,222,77,10,86,6026,5299,526,201
Ordnance and accessories,40,22,18,4,,,,,18,16,,2
Food and kindred products,1708,821,682,133,38,3,5,10,887,792,66,29
Apparel and finished products from fabric,707,323,248,54,10,1,,17,364,346,10,8
Machinery (except electrical),1385,680,574,94,8,3,1,,705,629,61,15
"Agriculture, forestry, and fisheries",376,251,127,67,48,2,,,125,113,3,9
Mining,265,,,,,,,,,,,
