Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,AFL-CIO unions won,Teamsters won,Other national unions won,Other local unions won,Number of elections in which no representative chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Total valid votes cast for no representation,Eligible employees in elections choosing no representation
West North Central — Division subtotal (RD),64,36,22,11,0,5,28,2946,2489,1341,1061,110,0,158,1148,1482
South Atlantic — Division subtotal (RD),64,49,18,9,0,22,16,4406,,2313,1330,502,0,,1820,1376
East South Central — Division subtotal (RD),36,12,7,5,0,0,24,,,,,,,,,
West South Central — Division subtotal (RD),56,23,19,3,0,1,33,,,,,,,,,
