row_label,category,count
Backpay,Backpay,14
Determinations in jurisdictional disputes,Determinations in jurisdictional disputes,10
Representation decisions,Representation decisions,267
After transfer by Regional Directors for initial decision,After transfer by Regional Directors for initial decision,2
After review of Regional Director decisions,After review of Regional Director decisions,79
On objections and/or challenges,On objections and/or challenges,186
Other decisions,Other decisions,13
Clarification of bargaining unit,Clarification of bargaining unit,11
Amendment to certification,Amendment to certification,0
Union-deauthorization,Union-deauthorization,2
Noncontested decisions,Noncontested decisions,356
Unfair labor practice,Unfair labor practice,157
Representation,Representation,196
Other,Other,3
