row_label,Total proceedings,"Injunctions proceedings / Pending in district court July 1, 1973",Injunctions proceedings / Filed in fiscal year 1974,Total dispositions fiscal year 1974,Disposition of injunctions / Granted,Disposition of injunctions / Denied,Disposition of injunctions / Settled,Disposition of injunctions / Withdrawn,Disposition of injunctions / Dismissed,Disposition of injunctions / Inactive,"Pending in district court June 30, 1974"
"Under sec 10(e), total",2,0,2,2,2,0,0,0,0,0,0
"Under sec 10(j), total",18,1,17,14,9,1,3,1,0,0,4
"Under sec 10(l), total",233,18,215,204,70,10,83,14,15,12,29
