row_label,col_1,col_2
',','
S(bX1),7800,84.3
8(b)(2),"1,3013",14.1
80)X3),594,6.4
8(b)(4),964,10.4
8(bX5),19,0.2
8(b)(6),26,0.3
8(b)(7),208,2.2
BI. Analysis of 8(bX4),BI. Analysis of 8(bX4),BI. Analysis of 8(bX4)
Total cases 8(b)(4),964,100.0
8(bX4XA),62,6.4
8(b)(4X13),554,57.5
8(b)(4)(C),18,1.9
8(b)(4)(D),280,29.0
8(bX4XA)(IO,38,3.9
8(b)(4XAXC),5,05
8(b)(4)03XC),5,0.5
8(b)(4)(AXB)(C),2,0.2
',','
8(b)(4)(A),107,11.1
8(1/)(4X13),599,62.1
8(b)(4)(C),30,3.1
8(bX4)(D),280,29.0
B2. Analysis of 8(bX7),B2. Analysis of 8(bX7),B2. Analysis of 8(bX7)
Total cases 8(b)(7),208,100.0
80X7XA),58,27.9
8(bX7X13),16,7.7
8(bX7XC),125,60.1
8(b)(7XAXB),3,1.4
8(bX7XAXC),3,1.4
SO*70)(0,2,1.0
130/X7XnXBXC),1,05
',','
"80,X7XA)",65,31.3
"80,X7X13)",22,10.6
8(b)(7)(C),131,63.0
C. Charges filed under Sec. 8(e),C. Charges filed under Sec. 8(e),C. Charges filed under Sec. 8(e)
Total cases 8(e),45,100.0
Against unions alone,45,100.0
D. Charges filed under Sec. 8(g),D. Charges filed under Sec. 8(g),D. Charges filed under Sec. 8(g)
Total cases 8(g),29,100.0
