Object class,Amount
Personnel compensation,25422404
Personnel benefits,1959887
Travel and transportation of persons,1422232
Transportation of things,38537
"Rent, communications, and utilities",1153020
Printing and reproduction,596484
Other services,954356
Supplies and materials,323201
Equipment,136544
Subtotal obligations and expenditures,32006665
"Transferred to operating expenses, public building service (rent)",57712
Total Agency,32064377
