row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
"Pending October 1, 1990 .","*17,565",9074,1868,909,1006,4708,
Received fiscal 1991,23005,11765,2557,745,946,6992,
On docket fiscal 1991,40570,20839,4425,1654,1952,11700,
Closed fiscal 1991,22484,11330,2500,755,955,6944,
"Pending September 30, 1991",18086,9509,1925,899,997,4756,
,CB cases,CB cases,CB cases,CB cases,CB cases,CB cases,CB cases
"Pending October 1, 1990","*4,043",62,10,5,22,2952,992
Received fiscal 1991,7921,51,17,9,35,6848,961
On docket fiscal 1991,11964,113,27,14,57,9800,1953
Closed fiscal 1991,7787,54,9,10,29,6573,1112
"Pending September 30, 1991",4177,59,18,4,28,3227,841
,CC cases,CC cases,CC cases,CC cases,CC cases,CC cases,CC cases
"Pending October 1, 1990",*948,0,1,2,6,,939
Received fiscal 1991,731,4,4,3,6,,714
On docket fiscal 1991,1679,4,5,5,12,,1653
Closed fiscal 1991,778,1,4,5,5,,763
"Pending September 30, 1991",901,3,,0,7,,890
,CD cases,CD cases,CD cases,CD cases,CD cases,CD cases,CD cases
"Pending October 1, 1990",*133,3,,,1,,128
Received fiscal 1991,236,8,,,1,,227
On docket fiscal 1991,369,11,,,2,,355
Closed fiscal 1991,241,8,,,1,,231
"Pending September 30, 1991",128,3,,,1,,124
,CE cases,CE cases,CE cases,CE cases,CE cases,CE cases,CE cases
"Pending October 1, 1990",.42,2,,,2,0,38
Received fiscal 1991,148,0,,,3,3,142
On docket fiscal 1991,190,2,,,5,3,180
Closed fiscal 1991,49,1,,,1,0,47
"Pending September 30, 1991",141,1,,,4,3,133
,CG cases,CG cases,CG cases,CG cases,CG cases,CG cases,CG cases
"Pending October 1, 1990",*19,,,,,,19
Received fiscal 1991,19,,,,,,19
On docket fiscal 1991,38,,,,,,38
Closed fiscal 1991,16,,,,,,16
,CP cases,CP cases,CP cases,CP cases,CP cases,CP cases,CP cases
"Pending October 1, 1990",*102,1,1,0,2,,98
Received fiscal 1991,211,4,2,3,1,,201
On docket fiscal 1991,313,5,3,3,3,,299
Closed fiscal 1991,238,4,2,3,,,226
"Pending September 30, 1991",75,,1,,3,,
,,1,,0,,,73
