Participating unions,Number of elections,Number of elections — A.F. of L. affiliates authorized / Number,Number of elections — A.F. of L. affiliates authorized / Percent,Number of elections — C.I.O. affiliates authorized / Number,Number of elections — C.I.O. affiliates authorized / Percent,Number of elections — Unaffiliated authorized / Number,Number of elections — Unaffiliated authorized / Percent,Number of elections — No union authorized / Number,Number of elections — No union authorized / Percent,Eligible voters / Number,Eligible voters / Percent casting valid votes,Total valid votes cast,Valid votes cast for union shop — A.F. of L. affiliates / Number,Valid votes cast for union shop — A.F. of L. affiliates / Percent,Valid votes cast for union shop — C.I.O. affiliates / Number,Valid votes cast for union shop — C.I.O. affiliates / Percent,Valid votes cast for union shop — Unaffiliated unions / Number,Valid votes cast for union shop — Unaffiliated unions / Percent,Valid votes cast against union shop / Number
Total,17958,12820,71.3,2312,12.9,2469,13.7,357,2.0,1852333,88.0,1629330,538665,51.3,476358,29.2,220017,13.5,94350
A.F. of L. affiliates,12892,12820,99.4,,,,,72,0.6,933608,,838055,476358,94.3,,,,,
C.I.O. affiliates,2338,,,2312,98.9,,,26,1.1,,,,,,,,,,
Unaffiliated unions,2528,,,,,2469,97.7,59,2.3,,,,,,,,220017,98.3,
