row_label,col_1
21-R-3499,Pryne & Co. Car
13-R-4066 9-R-2234,Pullman Standard Mfg. Co. Pure Oil Co.
9-R-2241,Pure Oil Co.
9-R-2284,"Pure Oil Co., The"
9-R-2285,"Pure Oil Co., The"
9-R-2498,"Pure Oil Co., The"
10-R-2142,"Pure Oil Co., The"
16-R-1443,Pure Oil Co.
13-R-4278,Pyramid Metals Co.
21-R-3816,Quality Foundry.
9-R-2324 15-R-2050,Ralston Purina Co. Red River Veneer Co.
13-R-4245,Reliable Electric Co.
4-R-2497,Reliance Bronze & Aluminum Co.
4-R-2402,Reliance Mirror Mfg. Co.
8-R-2364,"Remington Arms, Inc."
1-R-3605,"Reo Motors, Inc."
,Corp.
2-R-7290,Republic Aviation Republic Steel Corp.
3-R-1474 21-R-3675,Reynolds Metals Co.
13-R-4070,Rheem Mfg. Co.
18-R-1549,Rib Lake Lumber Co.
,Rice-Stix Dry Goods
17-R-1724,"Co. Co.,"
11-R-1208,Richmond Home Telephone
19-R-1828,Riggs Optical Co. River Raisin Paper Co.
7-R-2225 5W-R-82,Riverside Mfg. Co. Inc.
5-R-2756 13-R-3666,"Riverside Mfg. Co., Rock Run Mills."
4-R-2200,Rohm & Haas Co. Rome Hosiery Mills.
10-R-2054,
,"Rosenthal, A., & Son."
1-R-3252,Royal Mfg. Co.
1-R-3499,Royal Master
8-R-2416 4-R-2385,"Appliance Co. Royal, Thomas H., & Co."
,Mfg. Co.
4-R-2627,Rundle
9-R-2572,"Ryerson, Joseph, T., & Son, Inc."
1-R-3783,St. Pierre Chain Corp.
21-R-3601 16-R-2137,"Salsbury Motors, Inc. San Marcos Telephone Co."
4-R-2387,"Savoy Shoe Co., Inc. Sawyer Electrical Mfg. Co. Pump"
21-R-3865 8-R-2270,
,"Henry, & Bro.,"
4-R-2248,"Schiemer-Dornbirer Co. Schmidt, Inc."
13-R-4376,Scott Burr Stores Corp.
20-R-1840,"Scott, Hall Motor Car Co."
20-R-1852,"Scott, Hall Motor Car Co. Scott & Williams, Inc. Illinois"
1-R-3130,
13-R-4037,"Sears, Roebuck & Co., Paint Seng Co., The."
13-R-3988,"Co., The."
18-R-4023,Bros.
4-R-2397 1-R-3298,"Seng Sensenich Sexton Can Co.,"
13-R-4423 1-R-3157,"Inc. Shurhit Products, Inc. Sibulkin, M., Shoe Co., Singer Sewing Machine"
21-R-3422,"Inc. Co. Footwear, Inc."
1-R-3369,"Slax Smith Canning Co., of"
19-R-2051,"Oregon. Smith, W. T., Lumber Co. Smith, W. T., Lumber Co."
15-R-2049,
15-R-2091,
1-R-3646,"Rocony-Vacuum Oil Co.,"
1-R-3676,"Inc. Socony-Vacuum Oil Co., Inc."
