Type of case,Total elections,Type of election — Consent,Type of election — Stipulated,Type of election — Board ordered,Type of election — Regional director directed,Type of election — Expedited elections under 8(b)(7)(C)
"All elections, total",7668,3513,1919,744,1450,42
"Eligible voters, total",557707,166912,180214,83983,125299,1299
"Valid votes, total",501250,150384,165222,73074,111468,1102
"RC cases, total",6916,3181,1783,686,1253,13
RC — Eligible voters,514394,152498,165779,82076,113306,735
RC — Valid votes,463259,137588,151875,71419,101706,671
"RM cases, total",439,200,91,26,93,29
RM — Eligible voters,21653,6499,10620,459,3511,564
RM — Valid votes,19290,5747,9879,376,2866,431
"RD cases, total",285,125,44,32,84,0
RD — Eligible voters,19253,7147,3797,1448,6861,0
RD — Valid votes,16781,6371,3450,1279,5681,0
"UD cases, total",28,7,1,0,20,0
UD — Eligible voters,2407,768,18,0,1621,0
UD — Valid votes,1911,678,18,0,1215,0
