Stage and method of disposition,All C cases / Number of cases,All C cases / Percent of cases closed,CA cases / Number of cases,CA cases / Percent of cases closed,CB cases / Number of cases,CB cases / Percent of cases closed,CC cases / Number of cases,CC cases / Percent of cases closed,CD cases / Number of cases,CD cases / Percent of cases closed,CE cases / Number of cases,CE cases / Percent of cases closed,CP cases / Number of cases,CP cases / Percent of cases closed
After Board order adopting intermediate report in absence of exceptions,117,1.0,69,.9,47,1.6,1,.2,0,.0,0,.0,0,.0
"After Board decision, before court decree",275,2.3,165,2.1,70,2.4,32,4.9,2,1.0,0,.0,0,.0
"After circuit court decree, before Supreme Court action",133,1.1,76,1.0,33,1.1,19,2.9,5,2.6,0,.0,0,.0
After Supreme Court denied writ of certiorari,15,.1,11,.1,2,.1,2,.3,0,.0,0,.0,0,.0
After Supreme Court opinion,5,,3,,2,,0,.0,0,.0,0,.0,0,.0
Method,,,,,,,,,,,,,,
