row_label,Participating unions,Total valid votes cast,Valid votes cast in elections won / Total,Valid votes cast in elections won / Votes for unions / AFL-CIO unions,Valid votes cast in elections won / Votes for unions / Teamsters,Valid votes cast in elections won / Votes for unions / Other national unions,Valid votes cast in elections won / Votes for unions / Other local unions,Valid votes cast in elections won / Votes for no union,Valid votes cast in elections lost / Total,Valid votes cast in elections lost / Votes for unions / AFL-CIO unions,Valid votes cast in elections lost / Votes for unions / Teamsters,Valid votes cast in elections lost / Votes for unions / Other national unions,Valid votes cast in elections lost / Votes for unions / Other local unions,Valid votes cast in elections lost / Votes for no union
1-union elections (Total),20911,5063,3318,741,92,92,2939,3911,3113,697,57,44,8113,
2-union elections (Total),4376,3462,1561,1477,52,372,317,202,59,121,0,22,365,
Total RD elections,24887,8525,4879,2218,964,464,3256,4113,3172,818,57,66,9013,
"Detail rows (AFL-CIO, Teamsters, Other national unions, Other local unions, AFL-CIO v. AFL-CIO, etc.)",,,,,,,,,,,,,,
