Division and State,All cases,Unfair labor practice cases — All C cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Unfair labor practice cases — CE,Unfair labor practice cases — CG,Unfair labor practice cases — CP,Representation cases — All R cases,Representation cases — RC,Representation cases — RM,Representation cases — RD,Union deauthorization cases — UD,Amendment of certification cases — AC,Unit clarification cases — UC
Maryland,397,304,228,76,0,0,0,0,0,88,71,4,13,4,0,1
Virginia,325,281,226,44,9,0,0,0,0,41,26,1,14,0,0,3
South Atlantic (aggregate),2979,2588,2015,556,12,0,1,1,3,377,289,10,78,5,0,9
Iowa,229,189,164,20,4,1,0,0,0,38,27,0,11,0,0,2
West North Central (aggregate),1566,1308,967,283,26,16,6,0,4,243,173,5,65,5,0,5
Texas,1031,955,678,270,1,6,0,0,2,78,61,1,16,0,0,0
West South Central (aggregate),1573,1435,1101,307,2,6,0,0,2,134,98,6,30,0,2,2
"Total, all States and areas",26721,23091,16867,5422,340,109,32,62,67,3351,2486,108,757,119,10,151
