Stage of disposition,All R cases / Number of cases closed,All R cases / Percent of cases closed,RC cases / Number of cases closed,RC cases / Percent of cases closed,RM cases / Number of cases closed,RM cases / Percent of cases closed,RD cases / Number of cases closed,RD cases / Percent of cases closed,UD cases / Number of cases closed,UD cases / Percent of cases closed
Total number of cases closed,3466,100.0,2886,100.0,219,100.0,361,100.0,61,100.0
Before issuance of notice of hearing,1250,36.1,921,31.9,133,60.7,196,54.2,36,59.0
After issuance of notice before close of hearing,1622,46.9,1436,49.7,63,28.8,123,34.1,7,11.5
After hearing closed before issuance of decision,26,0.8,23,0.8,0,,3,0.8,0,
After issuance of regional director's decision,549,15.8,487,16.9,22,10.0,40,11.1,18,29.5
After issuance of Board decision,19,0.5,19,0.7,0,,0,,0,
