row_label,Participating unions,Total elections,Elections won by unions Percent won,Elections won by unions Total won,Elections won by AFL-CIO,Elections won by Teamsters,Elections won by Other national,Elections won by Other local,Elections in which,Employees eligible to vote Total,Employees eligible to vote in election won by AFL-CIO,Employees eligible to vote in election won by Teamsters,Employees eligible to vote in election won by Other national,Employees eligible to vote in election won by Other local,Employees eligible to vote in elections where
C. ELECTIONS IN RM CASES — section header,,,,,,,,,,,,,,,
Total RM elections,466,51.3,239,153,63,8,5,227,30850,20664,18853,1163,313,533,9940
1-union elections (subtotal),375,44.8,168,108,53,3,4,207,17746,8480,6983,1111,274,112,8766
1-union election affiliation,,,,,,,,,,,,,,,
2-union elections (subtotal),88,77.3,68,62,2,2,2,20,12768,11594,11253,42,39,,1174
2-union affiliation-pair,,,,,,,,,,,,,,,
3 (or more)-union elections (subtotal),3,100.0,3,3,,,,,790,790,619,,,163,
