row_label,Types of formal actions taken,Cases in which formal actions taken,Total formal actions taken,Formal actions taken by type of case / CA,CB,CC,CD / Jurisdictional disputes,Unfair labor practices,CE,CP,CA combined with CB,CA combined with representation cases,Other C combinations
10(k) notices of hearings issued,10(k) notices of hearings issued,123,55,,,,55,,,,,,
Complaints issued,Complaints issued,3708,2869,2180,271,156,,,15,2,92,114,47
Backpay specifications issued,Backpay specifications issued,86,60,54,4,,,,,,1,1,
"Hearings completed, total","Hearings completed, total",1715,1734,881,126,49,55,4,0,13,37,74,13
Initial ULP hearings,Initial ULP hearings,1616,1172,824,113,49,13,0,0,13,32,88,13
Backpay hearings,Backpay hearings,47,52,45,3,0,,,,0,1,3,
Other hearings,Other hearings,52,35,12,10,0,,,,0,4,9,0
"Decisions by administrative law judges, total","Decisions by administrative law judges, total",1519,1070,773,124,36,,,2,1,38,71,13
Initial ULP decisions,Initial ULP decisions,1397,990,726,109,36,,,2,1,32,68,12
Backpay decisions,Backpay decisions,80,43,28,12,0,,,,0,1,2,0
Supplemental decisions,Supplemental decisions,43,28,19,3,0,,,,0,1,4,1
"Decisions and orders by the Board, total","Decisions and orders by the Board, total",1900,1387,954,159,61,59,6,1,16,34,67,30
Upon consent of parties,Upon consent of parties,210,147,,,,,,,,,,
Initial decisions,Initial decisions,,,,,,,,,,,,
Backpay decisions,Backpay decisions,9,8,,,,,,,,,,
Adopting administrative law judge's decision (no exceptions filed),Adopting administrative law judge's decision (no exceptions filed),354,265,224,32,9,,,,,,,
Initial ULP decisions,Initial ULP decisions,,,,,,,,,,,,
Backpay decisions,Backpay decisions,10,6,,,,,,,,,,
Contested,Contested,,,,,,,,,,,,
Initial ULP decisions,Initial ULP decisions,1155,837,576,88,34,50,6,1,16,22,44,19
Decisions based on stipulated record,Decisions based on stipulated record,,,,,,,,,,,,
Backpay decisions,Backpay decisions,85,57,42,7,1,,,,,,,
