row_label,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
Manufacturing (subtotal),4427,2361,1450,472,299,180,2076,471178,423591,246410,149501,25818,35873,36218,176181,233917
"Remaining manufacturing sub-industries (Metal mining, Coal mining, Crude petroleum and natural gas production, Nonmetallic mining and quarrying, Mining subtotal, Construction, Wholesale trade, Retail trade, Finance/insurance/real estate, Local passenger transportation, Motor freight/warehousing, Water/Other transportation services, Heat/light/power/water/sanitary services, Transportation/communication, Hotels, Personal services, Automotive/auto repair, Motion pictures/amusement/recreation services, Medical and other health services, Educational services, Nonprofit membership organizations, Miscellaneous services, Total all industrial groups grand total)",,,,,,,,,,,,,,,,
"Total, all industrial groups",7993,4367,2486,1234,409,238,3626,602761,526419,306010,185146,40832,40850,39182,220407,299779
