Types of formal actions taken,Cases in which formal actions taken,Total formal actions taken,Formal actions taken by type of case / CA,Formal actions taken by type of case / CB,Formal actions taken by type of case / CC,Formal actions taken by type of case / CD Jurisdictional dispute,Formal actions taken by type of case / CD Unfair labor practices,Formal actions taken by type of case / CE,Formal actions taken by type of case / CP,Formal actions taken by type of case / C combined with CB,Formal actions taken by type of case / C combined with representation cases,Formal actions taken by type of case / Other C combinations
10(k) notices of hearings issued,76,76,,,,65,,5,,5,,1
Complaints issued,2580,3094,1502,337,117,,,8,52,962,121,21
Backpay specifications issued,65,85,29,24,1,,,,,23,6,2
"Hearings completed, total",1514,1069,725,70,42,41,,0,2,13,40,104
Hearings completed,,,,,,,,,,,,
"Decisions by trial examiners, total",1427,988,739,96,33,,,4,,12,33,98
Trial examiner decisions,,,,,,,,,,,,
"Decisions and orders by the Board, total",1513,1033,730,65,49,26,,,1,8,31,73
Board decisions,,,,,,,,,,,,
