Type of case,Total,Type of election / Consent,Type of election / Stipulated,Type of election / Board-directed,Type of election / Regional director-directed,Type of election / Expedited elections under 8(b)(7)(C)
"All types, total - Elections",7659,301,5834,27,1479,17
"All types, total - Eligible voters",455678,7314,343362,2675,101848,479
"All types, total - Valid votes",396551,6303,300615,2259,86940,434
RC cases - Elections,6439,233,4952,18,1233,3
RC cases - Eligible voters,395573,5623,298696,1941,89117,196
RC cases - Valid votes,346523,4839,263016,1621,76876,171
RM cases - Elections,217,11,153,0,39,14
RM cases - Eligible voters,8264,191,5351,0,2439,283
RM cases - Valid votes,6380,172,4201,0,1744,263
RD cases - Elections,856,33,672,1,150,0
RD cases - Eligible voters,45406,625,36472,517,7792,0
RD cases - Valid votes,39254,523,31783,451,6497,0
UD cases - Elections,147,24,58,8,57,
UD cases - Eligible voters,6435,875,2843,217,2500,
UD cases - Valid votes,4394,769,1615,187,1823,
