row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearings completed, total",2722,2526,2269,104,153,4
Mtial hearings leanngs on objections and/or challenges,"2,472 250","2,287 239","2,054 215",91 13,142 11,3 1
"Decisions issued, total",2404,2220,1998,96,126,3
3y regional directors,2169,2054,1810,90,114,3
Elections directed Dismissals on record,"1,919 210","1,854 200","1,672 178",80 10,102 12,2 1
3y Board,235,166,148,6,12,0
After transfer by regional directors for hutial decision_,190,126,112,4,10,0
Elections directed Dismissals on record,143 47,84 42,76 36,1 3,7 3,0 0
After review of regional directors' decision,45,40,36,2,2,0
Elections directed Dismissals on record,38 7,35 6,32 4,1 1,2 0,0 0
"Decisions on objections and/or challenges, total _ .._",1170,1141,1048,56,37,6
3y regional directors 3y Board,355 815,349 792,313 735,21 35,15 22,5 1
In stipulated elections,762,740,687,32,21,1
No exceptions to regional directors' reports_ Exceptions to regional directors' reports,549 213,528 212,484 203,25 7,19 2,0
,,,,,,1
In directed elections (after transfer by regional directors) In directed elections after review of regional direc-,36,36,33,2,1,0
tors' supplemental decisions,17,17,16,1,0,0
