row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
"--4,- c ,1 . .",":'..' _ :,i ,","6Pg, m_..-_,_ -7.",2 - 4 .,"L , g32, ""0- c44-■","74 , X",".2.48R§ g T4, . X .",4 4,"68.S.'1 .X .c,1",X N,.c4,4,X 'cl
"8- c4O 7, 7.4XX",R _,at: XX 40C,'72 g.,'Ha 4'-.7X,R X,".N.e, gg2,71 4","0 'o, X",LON0u0 Ai'e. 4 c44,§ 4,NN.0 427' N ci4,. 0 ' X,0 '-' 0 X n
C■1,".: ,?, 4",N,":,",N,",:",",,",",.,",S44°2 m -;,"S , -;",R'.7oS,,
".,nooN.,o 62.?4482 N -74 X",04,"ra--""1°Fg N. LO. ,. ,",° g N,EC°69 0 S.,n . -,N0° 00 5 .2 n,r: N,"ON ,.' 0 2 . N0 ,i",. 4,"n°V,",I .,g .
P27-1824 X0NN. . - .,"S X -',","47S24 NN ., -",- il .,"n4g .N. ,;","`F .T .., -■",4n67V4 -+' .,R,"4n,li .v.N., ■ri",CC,8firil,A __,4
"463. 2.26S oeoma,00c, ,6,,i-osicri-","CC - .- :,","5PPFG Ni-NNN - f,o5",,"N O ,c,,,0 ._ -N","4 N ,,-",npit2 ON 0.' ci.,,",-0.c,r -,-,, , m0.- - -07 ;,.",,"E,""PS -00 .. --",,
"P847 .NNN . , , i06OXt , ..?4",4 N,"4fi g-', M,0000 . c4 4r-:",,"4.g45 ,, 0 X4",g 0 X,"SST;=,7 0, e■5 .-I . c0 .. X",,"45000 ,. ,. 7 2 NO N",4 N C: N,'264 n 0: 0: .N,c.; kn.,"n ,7 ci. n"
N NO 'Ct .0CC i ' o g - - -- nc4.00F0,W 01 g •-■,0 00N,,". '44P22 ,,,N.m .-- -",,":0N.MN00 :;FR2r0-.R , ,''",",-t 2",".0.0. V.77 6 - - . •17 Cr, ,-, ,.",N ',",..en .7.6gXN",,0 . 0 S
"N 000 cq ,r ./. 23:4a,'7, '3 - . WFV,1g,7,'",,anis e-7XX mL6 --,§ 4,"5E12 g 0=C,/,1 ...7'i,4_T _",g X .- _,"SF-pPi ,r...0,7 .7 .4",.-: . 04 _,"84 g0 8 .00 . - - L,..- - .","2 W, , : (C","2gn,-.8 X -N. ../i- 06",". ci. ,.",. g r: t-. .-
F48roZiS,4 .,",. `.ol. '-3'42 .",,"-"",4222 ' .",,",, ...",",,",",... ,. - '0",,"_, 4. 040",R,"c, N 4"
"O .0,4 o:,",4,0N0.M,0,('ON 00,00,000000,0,Ofi.ON,"N,",.000,X,z
", c;00su,ArJ",8 -,"C,100.N",00,00000,N,00000.,Ut,-m..-,,NO.T0,0,4 N
"7, . , g F,,",8 N,000NM,S,"00S,",S,00N.00,n,"' 2',000 -","s. ,",".,-. 4",8,8 oD -:
5544S -,,"c .L1w.,25",g,",-LNUt",LEO,4:2'4',7,44F' 100t N,,"""n7,",R -,
.cipEr,g,"1 CC .1, 0 ,7-",g,gUj,P,"SE.1""4""",,-;11°n,",i3",F2:34R,8,4 Vi
q4n. q 3 0 .LCD.,0 Csi,":,., N",",-,5 . 1 .",swr,A,"'.,''L'2.12, .",F; N,"sm7,- . 4 0 .-","6 N ,,-",4g'ojP -N,8 .,g CO
,I g,8 g4) x5 - q 11 .,> I,,,"m E Wolj?, uXzma3",,"5 ggg 4 §""23gV N",0 59,A.E.§,,
