Participating unions,Total elections,Percent won,Elections won by unions — Total won,Elections won by unions — AFL-CIO unions,Elections won by unions — Teamsters,Elections won by unions — Other national unions,Elections won by unions — Other local unions,Elections in which no representative chosen,Employees eligible to vote,Employees eligible — In units won by AFL-CIO unions,Employees eligible — In units won by Teamsters,Employees eligible — In units won by Other national unions,Employees eligible — In units won by Other local unions,In elections — no representative chosen (count)
"AFL-CIO unions (RC, 1-union)",2255,50.7,1164,1164,,,,1091,147508,53245,,,,94663
"Teamsters (RC, 1-union)",1041,41.8,435,,435,,,606,35627,,13955,,,41672
"Other national unions (RC, 1-union)",64,53.1,34,,,34,,30,4610,,,1869,,2741
"Other local unions (RC, 1-union)",178,55.6,99,,,,99,79,10427,,,,5861,4566
"1-union elections (RC, sub-total)",3538,49.4,1732,1164,435,34,99,1806,218172,74930,53245,13955,1869,5861
,130,80.8,105,39,16,14,36,25,23375,,20743,4487,1250,3792
,1,100.0,1,,,,,0,434,,,,,
Total RC elections,3670,50.1,1839,1206,451,48,135,1831,243045,96776,66156,5089,5861,9749
AFL-CIO unions (RM),70,30.0,21,21,,,,,7295,912,,,,1883
