row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Pending October 1, 2005....................","*1,107",475,552,79,1,
Received fiscal 2006..........................,2489,1085,1223,177,4,
On docket fiscal 2006........................,3596,1560,1775,256,5,
Closed fiscal 2006..............................,2710,1250,1278,179,3,
"Pending September 30, 2006..............",886,310,497,77,2,
,RMCases,RMCases,RMCases,RMCases,RMCases,RMCases
"Pending October 1, 2005....................",50,,,,,50
Received fiscal 2006..........................,108,,,,,108
On docket fiscal 2006........................,158,,,,,158
Closed fiscal 2006..............................,113,,,,,113
"Pending September 30, 2006..............",45,,,,,45
,RD Cases,RD Cases,RD Cases,RD Cases,RD Cases,RD Cases
"Pending October 1, 2005....................",247,1,0,0,246,
Received fiscal 2006..........................,757,0,2,0,755,
On docket fiscal 2006........................,1004,1,2,0,1001,
Closed fiscal 2006..............................,753,0,2,0,751,
"Pending September 30, 2006..............",251,1,0,0,250,
