Industry,Unfair labor practice cases / Number,Unfair labor practice cases / Percent of total,Representation cases / Number,Representation cases / Percent of total
Retail trade,219,51.3,208,48.7
Aircraft and parts,134,52.5,121,47.5
Wholesale trade,403,54.2,341,45.8
Highway freight transportation,114,56.2,89,43.8
Rubber products,46,56.8,35,43.2
Construction,49,57.0,37,43.0
Apparel,276,65.2,147,34.8
Coal mining,51,66.2,26,33.8
