Stage,Total,Identification of filing party / AFL-CIO unions,Identification of filing party / Teamsters,Identification of filing party / Other national unions,Identification of filing party / Other local unions,Identification of filing party / Individuals,Identification of filing party / Employers
RC Cases,,,,,,,
"Pending July 1, 1968",2436,1602,595,112,120,7,
Received fiscal 1969,10308,5866,3107,821,485,29,
On docket fiscal 1969,12744,7468,3702,933,605,36,
Closed fiscal 1969,10292,5951,3117,763,429,32,
"Pending June 30, 1969",2452,1517,585,170,176,4,
RM Cases,,,,,,,
"Pending July 1, 1968",210,,,,,,210
Received fiscal 1969,1030,,,,,,1030
On docket fiscal 1969,1240,,,,,,1240
Closed fiscal 1969,1058,,,,,,1058
"Pending June 30, 1969",182,,,,,,182
RD Cases,,,,,,,
"Pending July 1, 1968",144,2,1,0,0,141,
Received fiscal 1969,769,4,2,1,8,754,
On docket fiscal 1969,913,6,3,1,8,895,
Closed fiscal 1969,766,4,3,1,4,754,
"Pending June 30, 1969",147,2,0,0,4,141,
