Case No.,Union and company,Date petition for injunction filed,Type of petition,Date TRO issued,Date TRO lifted,Date temporary injunction granted,Date injunction denied,Date proceedings withdrawn or dismissed,Date Board decision and/or order
"2-CC-482, 483","Plumbers, Local 638, et al. (Mechanical Contractors Association of N.Y. & Air Conditioning Contractors Association)","Nov. 12, 1958",10 (l),,,,,,
20-CD-54,"Plumbers, Local 447 (Sheet Metal Heating and Air Conditioning Contractors Association)","Nov. 17, 1958",10 (l),,,"Nov. 24, 1958",,"Feb. 17, 1959",Dismissed.
1-CC-29,"Plumbers, Local 476 (Rhode Island Chapter, Associated General Contractors of America)","Nov. 19, 1958",10 (l),,,,,,
Additional case rows present,,,,,,,,,
