Standard Federal regions,All cases,All C cases,CA,CB,CC,CD,CE,CG,CP,All R cases,RC,RM,RD,UD,AC,UC
Region V,,,,,,,,,,,,,,,,
Region VI-IX,,,,,,,,,,,,,,,,
"Total, all Federal regions",13011,9200,6223,2106,559,128,,,36,3628,2955,261,412,79,25,79
