row_label,col_1,col_2,col_3
1-RC-490 2-RC-878,Inc. Metropolitan Ice Co.,2-RC-651,Corp.
,Metropolitan Life In- surance Co.,8-RC-251,"National Automotive Fibres, Inc."
7-RC-221,Midland Steel Products Co.,10-RC-365,"National Brans, Inc. National Carbide Corp."
4-RC-313,Mid-States Gummed Paper Co.,5-RC-214 8-RC-237 1-RC-837,National Carbon Co. National Folding Box
20-RC-141,Midtown Motors. Prod-,,Co.
7-RC-172,Midwest Metal ucts Co.,16-RC-338,"National Geophysical Co., Inc."
13-RC-443,"Miller-Woll, Inc.",2-RC-366,National Hardware
18-RC-257,Minnesota Mining & Manufacturing Co.,5-RC--240,"Corp. National Lumber Co.,"
15-RC-54,"Mississippi Products, Inc.",10-RC-169,The. National Traffic Guard
15-RC-171,Mississippi Tank Co.,,Co.
14-RC-424,"Missouri Distributing Co., Inc.",1-RC-744 4-RC-40,National Lead Co. National Lead Co.
14-RC-159,Missouri Gravel Co.,1-RC-893,Natural Products Co.
17- RC-282,,,
,Missouri Service Co.,k33-RC-45,"Navajo Freight Lines,"
14-RC-231,Mixdorff-Krein Manu- facturing Co.,8-RC-275,"Inc. Nestles Co., Inc."
9-RC-412,Model Laundry Co.,13-RC-630,Newburg Machine Co.
10-RC-323,Modern Coach Corp.,34-RC-92,New England Waste
31-RC-36,Modern Equipment Co.,1-RC-675,Co.
1-RC-258 10-RC-527,Modern Linen Co. Modern Upholstered Chair Co.,35-RC-26,"New Haven Pulp & Board Co., The. New Indiana Chair Co."
5-RC-148,Monroe Upholstering Co.,2-RC-541,New Jersey Wire Goods Co.
10-RC-368 39-RC-50,Monsanto Chemical Co Monte Alto Citrus As- sociation.,33-RC-47,New Mexico Broadcast- ing Co. _
15-RC-41,"Monticello Charm Tred Mills, Inc.",15-RC-16 3-RC-56,Newport Inthistries Inc. New Process Gear Corp.
15-RC-92,"Monticello Cotton Mills,",6-RC-143,"New York, & Pennsyl- vania Co. Inc., The."
8-RC-132,"Inc. Moore Enameling Man- ufacturing, The.",38-RC-45,"New York & Porto- Rico Steamship Co., The."
21-RC-463,Morenci Water & Elec- tric Co.,2-RC-337,New York Power & Light Corp.
14-RC-623,Morley Manufacturing Co.,10-RC-241,"New York Steam Laun- dry, Inc."
16-RC-318,"Morrison Milling Co., The.",2-RC-382,New York Telephone Co.
10-RC-353,Morristown Turning Co.,1-RC-644,"Nison Shoes, Inc. Radio"
2-RC-866 34-RC-99,"Morris, William A., Inc. Morris, W. P., Lumber",15-RC-111,"Noe, James A., Station."
,Co.,,
14-RC-227,Mound City Products Co.,10-RC-431 2-RC-199,"Norris, Inc. North American Phil- lips Co."
7-RC-50 16-RC-260 4-RC-148,Mueller Brass Co. Murdock Tank Co. Murlin,18-RC-344,Northern Engineering Co.
9-RC-200,Marinfacturing Co.,1-RC-347,Northern Industrial Chemical Co.
16-RC-121 34-RC-96,"Murphy, G. C., Co. Murray Rubber Co. Co.",30-RC-63,North Denver Lumber Co.
21-RC-711,"Mutual Distributing Myercord Co., Inc.",32-RC-81,North Memphis Lum- ber Co.
15-RC-84,"Nabors, W! C., Co.",7-RC-343,Northville Laboratories
2-RC-192,"Namm's, Inc.",,Inc. Bell
2-RC-848,"Namm's, Inc.",18-RC-76,Northwestern
,Nash Kelvinator,,Telephone Co.
21-RC-619,Corp.,,
