Disputes,Total all industries,Industries in which the National Labor Relations Board has taken jurisdiction,Industries in which the National Labor Relations Board has taken partial or no jurisdiction
1937 — Number of strikes,4740,3184,1556
1937 — Number of workers involved,1860621,1449720,410901
1937 — Man-days of idleness,28424857,23970757,4454100
1938 — Number of strikes,2772,1673,1099
1938 — Number of workers involved,688376,490557,197819
1938 — Man-days of idleness,9148273,6971408,2176865
1937-38 Percent decrease — Number of strikes,42,48,29
1937-38 Percent decrease — Number of workers involved,63,66,52
1937-38 Percent decrease — Man-days of idleness,68,71,51
