Industrial group,Total elections / Total elec-tions,Number of elections in which representation rights were won by unions / Total,Number of elections in which representation rights were won by unions / AFL-CIO unions,Number of elections in which representation rights were won by unions / Team-sters,Number of elections in which representation rights were won by unions / Other national unions,Number of elections in which representation rights were won by unions / Other local unions,Number of elections in which no representative was chosen / Number of elec-tions in which no rep-resent-ative was chosen,Number employees eligible to vote / Number employ-ees eligible to vote,Total valid votes cast,Valid votes cast for unions / Total,Valid votes cast for unions / AFL-CIO unions,Valid votes cast for unions / Team-sters,Valid votes cast for unions / Other national unions,Valid votes cast for unions / Other local unions,Total votes for no union,Eligible employees in units choosing representation / Eligible employ-ees in units choosing rep-resent-ation
Food and kindred products,375,144,77,59,6,2,231,27520,24164,10720,5730,3348,32,1609,13444,7558
Tobacco manufactures,7,2,0,2,,,5,813,729,255,212,28,0,0,474,134
Textile mill products,64,20,13,5,1,1,43,9236,8521,3128,2604,171,238,55,4996,1693
Apparel and other finished products made from fabric and similar materials,72,29,24,5,0,0,43,9888,8942,3598,3347,240,0,0,5344,2220
Lumber and wood products (except furniture),130,29,6,13,6,4,91,6933,6322,2851,2297,461,15,78,2179,1167
Furniture and fixtures,83,34,21,9,3,1,47,6308,5490,2297,1621,224,101,155,3343,2503
Paper and allied products,74,33,17,10,0,1,41,8062,7402,3402,1755,1327,224,,3148,1547
"Printing, publishing, and allied products",209,89,72,11,0,5,120,12008,10374,4499,3610,270,0,611,5875,3225
Chemicals and allied products,170,72,42,24,1,5,98,8654,7420,3433,2363,677,106,287,3988,2570
Manufacturing,3074,1200,798,306,30,66,1874,236003,212725,97491,70140,17656,3121,6564,115234,73382
