Stage of disposition,All C cases 1 / Number of cases,All C cases 1 / Percent of cases closed,CA cases 1 / Number of cases,CA cases 1 / Percent of cases closed,CB cases 1 / Number of cases,CB cases 1 / Percent of cases closed,CC cases 1 / Number of cases,CC cases 1 / Percent of cases closed,CD cases 1 / Number of cases,CD cases 1 / Percent of cases closed
Total number of cases closed,5144,100.0,3446,100.0,1163,100.0,435,100.0,100,100.0
Before issuance of complaint,4444,86.4,3114,90.4,925,79.5,311,71.5,94,94.0
"After issuance of complaint, before opening of hearing",238,4.6,96,2.8,62,5.3,78,18.0,2,2.0
"After hearing opened, before issuance of intermediate report",114,2.2,23,.7,77,6.6,14,3.2,0,.0
"After intermediate report, before issuance of Board decision",44,.8,25,.7,13,1.1,6,1.4,0,.0
After Board order adopting intermediate report in absence of exceptions,19,.4,12,.3,7,.6,0,.0,0,.0
"After Board decision, before court decree",143,2.8,80,2.3,44,3.8,18,4.1,1,1.0
After Board order adopting intermediate report followed by circuit court decree,8,.2,5,.1,3,.3,0,.0,0,.0
"After circuit court decree, before Supreme Court action",102,2.0,68,2.0,25,2.2,6,1.4,3,3.0
After Supreme Court action,32,.6,23,.7,7,.6,2,.4,0,.0
