Stage of disposition,All C cases Number of cases,All C cases Percent of cases closed,CA cases Number of cases,CA cases Percent of cases closed,CB cases Number of cases,CB cases Percent of cases closed,CC cases Number of cases,CC cases Percent of cases closed,CD cases Number of cases,CD cases Percent of cases closed,CE cases Number of cases,CE cases Percent of cases closed,CG cases Number of cases,CG cases Percent of cases closed,CP cases Number of cases,CP cases Percent of cases closed
Total number of cases closed,37602,100.0,25448,100.0,9201,100.0,1942,100.0,475,100.0,138,100.0,110,100.0,468,100.0
Before issuance of complaint,32196,85.6,21008,82.9,8408,93.2,1623,83.6,457,96.2,97,70.3,94,85.5,419,89.6
"After issuance of complaint, before opening of hearing",3307,8.8,2669,10.5,371,4.1,210,10.8,9,1.9,16,11.6,9,8.2,23,4.9
"After hearing opened, before issuance of administrative law judge's decision",363,0.9,292,1.1,40,0.4,20,1.0,,,2,1.5,1,0.9,8,1.7
"After administrative law judge's decision, before issuance of Board decision",28,0.1,23,0.1,3,,2,0.1,,,,,,,,
After Board order adopting administrative law judge's decision in absence of exceptions,279,0.7,237,0.9,32,0.4,5,0.3,,,1,0.7,1,0.9,3,0.6
"After Board decision, before circuit court action",904,2.4,726,2.9,129,1.4,47,2.4,,,10,2.1,6,8.3,9,1.9
"After circuit court decree, before Supreme Court action",465,1.2,397,1.6,29,0.3,33,1.7,,,,,,,14,3.0
After Supreme Court action,97,0.3,80,0.3,6,0.1,2,0.1,,,,,,,1,0.2
