row_label,Types of formal actions taken,Cases in which formal action taken,Total formal actions taken,CA,CB,CC,Jurisdictional disputes,CE,CG,CP,CA cases combined with CB,Combined with reversion CD,Other C combinations
100s receivers of hearings issued,48,4448,363,38,30,,,,,,79,,
"Hearings completed, total",543,429,362,42,1,35,0,0,0,0,0,0,0
"Decisions by administrative law judges, total",777,473,408,48,6,16,0,0,0,0,1,0,0
"Decisions and orders by the Board, total",1843,929,733,75,8,21,0,2,0,0,19,45,
