Division and State,Total elections,Number of elections in which representation rights were won by unions — Total,AFL-CIO unions,Teamsters,Other national unions,Other local unions,Number of elections in which no representative was chosen,Number of employees eligible to vote,Total valid votes cast,Valid votes cast for unions — Total,Valid votes cast for unions — AFL-CIO unions,Valid votes cast for unions — Teamsters,Valid votes cast for unions — Other national unions,Valid votes cast for unions — Other local unions,Total valid votes cast for no representation,Eligible employees in elections choosing no representation
Nevada,22,3,1,2,0,0,19,,,,,,,,891,58
Mountain — Division subtotal,207,82,49,20,4,9,125,8006,7018,3044,1647,781,371,245,3974,2220
Washington,201,67,41,13,6,3,134,7333,6194,2897,2053,414,195,235,3297,2616
Oregon,78,20,15,3,1,1,58,3766,3406,1392,95,149,35,2114,909,586
California,578,211,133,66,8,12,367,29502,25458,13497,6003,4418,415,2661,11961,13154
Alaska,37,8,4,2,2,0,19,471,351,132,62,59,0,0,219,118
Hawaii,33,20,8,3,1,8,13,1707,1494,806,66,8,0,479,11,669
Guam,1,1,0,0,1,0,0,16,14,8,0,0,8,0,6,0
Pacific — Division subtotal,928,337,202,92,24,19,591,42795,36677,18389,9321,7276,950,1042,18288,17603
Puerto Rico,52,33,9,5,1,10,19,4832,3502,4630,2792,880,307,322,1373,1838
Virgin Islands,1,1,0,0,0,1,0,6,6,1,0,0,1,0,0,145
Outlying Areas — subtotal,53,34,9,5,1,11,19,4838,3508,2855,953,880,307,322,1373,1983
"Total, all States and areas (GRAND TOTAL)",4436,1861,1120,466,69,206,2575,249512,221023,114321,74377,20816,3581,15547,106702,105919
