Case-flow stage,Total,A. F. of L. affiliates,C I O affiliates,Unaffiliated unions,Individuals,Employers
"NLRA R cases — Cases pending July 1, 1949",27,10,16,1,0,0
"NLRA R cases — Cases received July 1, 1949-June 30, 1950",,,,,,
"NLRA R cases — Cases on docket July 1, 1949-June 30, 1950",27,10,16,1,0,0
"NLRA R cases — Cases closed July 1, 1949-June 30, 1950",22,8,13,1,0,0
"NLRA R cases — Cases pending June 30, 1950",5,2,3,0,0,0
"RC cases — Cases pending July 1, 1949",1727,972,412,341,2,
"RC cases — Cases received July 1, 1949-June 30, 1950",8206,4547,2124,1524,11,
"RC cases — Cases on docket July 1, 1949-June 30, 1950",9933,5519,2536,1865,13,
"RC cases — Cases closed July 1, 1949-June 30, 1950",7719,4352,1991,1365,11,
"RC cases — Cases pending June 30, 1950",2214,1167,545,500,2,
"RM cases — Cases pending July 1, 1949",122,,,,,122
"RM cases — Cases received July 1, 1949-June 30, 1950",699,,,,,699
"RM cases — Cases on docket July 1, 1949-June 30, 1950",821,,,,,821
"RM cases — Cases closed July 1, 1949-June 30, 1950",659,,,,,659
"RM cases — Cases pending June 30, 1950",162,,,,,162
"RD cases — Cases pending July 1, 1949",86,0,0,2,84,0
"RD cases — Cases received July 1, 1949-June 30, 1950",374,3,2,9,359,1
"RD cases — Cases on docket July 1, 1949-June 30, 1950",460,3,2,11,443,1
"RD cases — Cases closed July 1, 1949-June 30, 1950",361,3,2,9,346,1
"RD cases — Cases pending June 30, 1950",99,0,0,2,97,0
"UA cases — Cases pending July 1, 1949",711,518,132,60,1,
"UA cases — Cases received July 1, 1949-June 30, 1950",6544,3899,1455,1183,7,
"UA cases — Cases on docket July 1, 1949-June 30, 1950",7255,4417,1587,1243,8,
"UA cases — Cases closed July 1, 1949-June 30, 1950",6264,3836,1344,1076,8,
"UA cases — Cases pending June 30, 1950",991,581,243,167,0,
