Division and State,Number of elections,Elections won by — A.F. of L. affiliates,Elections won by — C.I.O. affiliates,Elections won by — Unaffiliated unions,Elections won by — No union,Employees eligible to vote,Total valid votes cast,Valid votes cast for — A.F. of L. affiliates,Valid votes cast for — C.I.O. affiliates,Valid votes cast for — Unaffiliated unions,Valid votes cast for — No union,Employees on units choosing union representation
New England,7,3,0,0,4,123,115,57,0,0,58,75
Massachusetts,6,3,0,0,3,98,46,44,0,0,0,
Middle Atlantic,12,2,3,0,7,1111,1075,86,0,189,790,309
New York,4,2,0,0,2,192,174,86,0,8,31,164
New Jersey,3,0,0,0,3,100,90,0,0,0,59,13
Pennsylvania,5,0,3,0,2,813,750,0,0,182,623,145
East North Central,30,6,2,2,20,1725,1511,448,93,142,828,855
Ohio,10,1,1,1,7,945,797,278,18,43,458,439
Indiana,9,3,1,0,5,335,315,125,18,10,166,178
Michigan,9,2,0,1,6,275,246,22,33,62,144,127
Wisconsin,1,0,0,0,1,100,50,0,0,0,70,11
West North Central,9,1,0,0,8,569,527,235,0,2,289,101
South Atlantic,8,2,1,0,5,807,662,126,247,0,472,
