row_label,Subtotal,Total
Total Board decisions,,2759
Contested decisions,,1762
Unfair labor practice decisions,1146,
Initial (includes those based on stipulated record),1075,
Supplemental,3,
Backpay,28,
Determinations in jurisdictional disputes,40,
Representation decisions,603,
After transfer by regional directors for initial decision,43,
After review of regional director decisions,95,
On objections and/or challenges,465,
Other decisions,13,
Clarification of bargaining unit,11,
Amendment to certification,0,
Union-deauthorization,2,
Noncontested decisions,,997
Unfair labor practice,499,
Representation,494,
Other,4,
