row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
"Pending July 1, 1968",5537,3048,598,193,145,1540,13
Received fiscal 1969,12022,5234,1557,529,317,4375,10
On docket fiscal 1969,17559,8282,2155,722,462,5915,23
Closed fiscal 1969,12404,5453,1541,423,283,4692,12
"Pending June 30, 1969",5155,2829,614,299,179,1223,11
,CB Cases,CB Cases,CB Cases,CB Cases,CB Cases,CB Cases,CB Cases
"Pendmg July 1, 1968",1101,47,13,6,25,815,195
Received fiscal 1969,3973,72,16,10,39,3023,813
On docket fiscal 1969,5074,119,29,16,64,3838,1008
Closed fiscal 1969,3909,69,16,10,47,3033,734
"Pending June 30, 1969",1165,50,13,6,17,805,274
,CC Cases,CC Cases,CC Cases,CC Cases,CC Cases,CC Cases,CC Cases
"Pending July 1, 1968",380,3,2,7,10,22,336
Received fiscal 1969,1536,3,1,17,28,71,1416
On docket fiscal 1969,1916,6,3,24,38,93,1752
Closed fiscal 1969,1505,5,1,19,27,82,1371
"Pending June 30, 1969",411,i,2,5,11,11,381
,CD Cases,CD Cases,CD Cases,CD Cases,CD Cases,CD Cases,CD Cases
"Pending July 1, 1968",154,4,2,o,i,2,145
Received fiscal 1969,579,13,4,3,8,16,535
On docket fiscal 1969,733,17,6,3,9,18,680
Closed fiscal 1969,545,12,5,2,6,16,504
"Pending June 30, 1969",188,5,1,1,3,2,176
,CE Cases,CE Cases,CE Cases,CE Cases,CE Cases,CE Cases,CE Cases
"Pending July 1, 196C",76,10,12,0,2,2,50
Received fiscal 1969,52,8,1,2,2,4,35
On docket fiscal 1969,128,18,13,2,4,6,85
Closed fiscal 1969,98,18,13,2,3,3,59
"Pending June 30, 1969",30,0,0,0,i,3,26
,CI' Cases,CI' Cases,CI' Cases,CI' Cases,CI' Cases,CI' Cases,CI' Cases
"Pending July 1, 1968",129,3,o,1,3,7,115
Received fiscal 1969,489,3,i,9,69,19,388
On docket fiscal 1969,618,6,i,10,72,26,503
Closed fiscal 1969,478,3,o,9,36,21,409
"Pending June 30, 1969",140,3,i,1,36,5,94
