Method and stage of disposition,All R cases — Number,All R cases — Percent,RC cases — Number,RC cases — Percent,RM cases — Number,RM cases — Percent,RD cases — Number,RD cases — Percent,UD cases — Number,UD cases — Percent
"Total, all",14059,100.0,11970,100.0,971,100.0,1118,100.0,202,100.0
"Certification election, total",9493,67.5,8556,71.5,477,49.2,460,41.1,109,54.0
After: Consent election,1551,11.0,1360,11.4,94,9.7,97,8.7,32,15.9
Before notice of hearing (Consent),932,6.6,794,6.7,77,7.9,61,5.5,30,15.0
"After notice of hearing, before hearing closed (Consent)",616,4.4,563,4.7,17,1.8,36,3.2,2,0.9
"After hearing closed, before decision (Consent)",3,0.0,3,0.0,0,0,0,0,0,0
Stipulated election,6145,43.7,5582,46.6,289,29.8,274,24.5,15,7.4
Before notice of hearing (Stipulated),2378,16.9,2072,17.3,170,17.5,136,12.2,14,6.9
"After notice of hearing, before hearing closed (Stipulated)",3729,26.5,3478,29.1,118,12.2,133,11.9,1,0.5
"After hearing closed, before decision (Stipulated)",38,0.3,32,0.3,1,0.1,5,0.4,0,0
Expedited election,30,0.2,0,0,4,0.4,26,2.3,0,0
Regional director-directed election,1696,12.1,1544,12.9,65,6.7,25,2.2,62,30.7
Board-directed election,72,0.5,70,0.6,0,0,2,0.2,0,0
"By withdrawal, total",3375,24.0,2628,22.0,348,35.8,399,35.7,72,35.6
Before notice of hearing (Withdrawal),1680,11.9,1152,9.6,250,25.7,278,24.9,70,34.7
"After notice of hearing, before hearing closed (Withdrawal)",1429,10.2,1246,10.4,85,8.9,97,8.7,1,0.4
"After hearing closed, before decision (Withdrawal)",63,0.4,45,0.4,10,1.0,8,0.7,0,0
After regional director's decision and direction of election (Withdrawal),192,1.4,164,1.4,3,0.3,16,1.4,1,0.5
After Board decision and direction of election (Withdrawal),11,0.1,10,0.1,0,0,0,0,0,0
"By dismissal, total",1191,8.5,786,6.5,146,15.0,259,23.2,21,10.4
Before notice of hearing (Dismissal),630,4.5,387,3.2,112,11.5,182,16.3,19,9.4
"After notice of hearing, before hearing closed (Dismissal)",143,1.0,100,0.8,11,1.1,30,2.7,2,1.0
"After hearing closed, before decision (Dismissal)",42,0.3,41,0.3,0,0,1,0.1,0,0
By regional director's decision (Dismissal),339,2.4,224,1.9,21,2.2,23,2.1,0,0
By Board decision (Dismissal),37,0.3,34,0.3,2,0.2,0,0,0,0
