Participating unions,Total valid votes cast,Valid votes cast in elections won Total,Won Votes for unions AFL-CIO,Won Votes for unions Teamsters,Won Votes for unions Other national unions,Won Votes for unions Other local unions,Won Votes for no union,Valid votes cast in elections lost Total,Lost Votes for unions AFL-CIO,Lost Votes for unions Teamsters,Lost Votes for unions Other national unions,Lost Votes for unions Other local unions,Lost Votes for no union
RC 2-union,,,,,,,,,,,,,
2-union elections (RC subtotal),102709,71381,29026,9449,12143,3902,5119,5687,1385,678,188,23,13508
RC 3-(or-more)-union,,,,,,,,,,,,,
3 (or more)-union elections (RC subtotal),9726,7981,3727,1809,,759,1640,620,352,,185,,955
Total RC elections,462646,180343,114204,29302,16704,19983,63002,67448,10442,5890,,1,147956
C. ELECTIONS IN RM CASES,,,,,,,,,,,,,
RM 1-union affiliation,,,,,,,,,,,,,
1-union elections (RM subtotal),15662,4034,3378,355,,,,1363,2531,340,92,0,6982
RM 2-union,,,,,,,,,,,,,
Total RM elections,30347,17377,15329,1266,79,622,1812,5372,3073,340,,,7627
