Industrial group,Elections and pay-roll checks / Number,Elections and pay-roll checks / Percent,Valid votes cast / Number,Valid votes cast / Percent,Winner / A. F. of L. / Number,Winner / A. F. of L. / Percent,Winner / C. I. O. / Number,Winner / C. I. O. / Percent,Winner / Unaffiliated / Number,Winner / Unaffiliated / Percent,Winner / No union / Number,Winner / No union / Percent
Mining,219,4.6,21084,2.0,54,24.7,70,32.0,40,18.3,45,20.5
"Transportation, communication, and other public utilities",356,7.6,56933,5.3,148,41.6,80,22.5,73,20.5,55,15.4
