Type of election,All R cases Total elections,All R cases Objections/challenges Number,All R cases Objections/challenges Percent of total elections involved,RC cases Total elections,RC cases Objections/challenges Number,RC cases Objections/challenges Percent of total RC elections involved,RM cases Total elections,RM cases Objections/challenges Number,RM cases Objections/challenges Percent of total RM elections involved,RD cases Total elections,RD cases Objections/challenges Number,RD cases Objections/challenges Percent of total RD elections involved,UD cases Total elections,UD cases Objections/challenges Number,UD cases Objections/challenges Percent of total UD elections
"All types, total",7776,1178,15.1,7176,1094,15.2,400,62,15.5,200,22,11.0,48,6,12.5
All types: Objections alone or with challenges,,866,,,800,,,47,,,19,,,,
All types: Challenges only,,312,,,294,,,15,,,3,,,,
"In consent elections, total",3348,377,11.3,3348,,,174,,,176,10,10.1,10,1,10.0
In consent elections,,,,,,,,,,,,,,,
"In stipulated elections, total",2831,444,15.7,2635,414,15.7,150,,,18,6,11.1,4,1,25.0
In stipulated elections,,,,,,,,,,,,,,,
"In expedited elections, total",21,7,33.3,3,1,33.3,18,6,,,,,,,
"In regional director-directed elections, total",1491,315,22.1,1304,286,22.1,47,,,47,6,12.8,33,3,12.1
"In Board-directed elections, total",85,35,41.2,72,29,,6,11,,,5,,,,
