Proceedings,Number of cases instituted,Number of applications granted,Number of applications denied,"Cases settled, inactive, pending, etc."
Under sec. 10 (j),,,,
(a) Against unions,0,0,0,
(b) Against employers,1,0,0,1 pending
Under sec 10 (l),44,18,2,"15 settled, 3 withdrawn, 4 inactive, 2 pending"
Total,45,18,2,25
