Division and State,Number of elections,Elections won by — A. F. of L. affiliates,Elections won by — C. I. O. affiliates,Elections won by — Unaffiliated unions,Elections won by — No union,Eligible voters,Valid votes cast for — Total,Valid votes cast for — A. F. of L. affiliates,Valid votes cast for — C. I. O. affiliates,Valid votes cast for — Unaffiliated unions,Valid votes cast for — No union
New England — total,446,159,82,55,150,64877,58883,11687,22142,10623,14433
New England — Maine,42,11,6,8,17,7653,7187,1518,1775,799,3455
New England — New Hampshire,35,10,6,5,14,4051,3765,608,1698,458,1001
New England — Vermont,23,4,8,0,11,1638,1437,234,602,6,595
New England — Massachusetts,220,94,35,26,65,26033,24361,5919,8420,8561,4261
New England — Rhode Island,53,14,9,11,18,2902,2694,549,608,330,1207
New England — Connecticut,74,27,19,5,23,22003,19431,2859,9039,3266,5266
Middle Atlantic — total,1117,444,198,233,242,157633,137393,34943,37507,35001,29992
Middle Atlantic — New York,565,225,102,122,120,75993,65683,16548,14932,19790,14403
Middle Atlantic — New Jersey,207,63,48,45,51,30412,27401,11957,14338,12109,8572
Middle Atlantic — Pennsylvania,345,162,48,43,92,51228,44309,6438,8237,4234,8572
East North Central — total,1236,393,207,261,395,134414,116260,25012,40839,18929,31580
ENC — Ohio,340,111,60,65,114,44826,38222,6099,15173,5350,10473
ENC — Indiana,186,59,39,28,60,22561,19109,4327,6700,2743,5750
ENC — Illinois,163,62,23,33,85,12903,11032,4517,2162,1344,3009
ENC — Michigan,278,47,73,53,85,30548,26049,4017,5164,8019,9890
ENC — Wisconsin,60,44,12,32,51,7776,6907,2250,619,1564,2474
West North Central — total,542,225,63,119,135,42287,36654,9721,13301,6690,7892
WNC — Iowa,36,22,12,10,15,13252,11411,654,8006,1239,1512
WNC — Minnesota,100,37,10,12,29,5129,4418,2072,836,528,871
WNC — Missouri,266,108,29,71,60,19250,16429,5260,2108,3808,5252
WNC — North Dakota,5,2,0,1,2,103,381,111,10,75,85
WNC — South Dakota,5,1,1,1,2,277,251,154,0,0,97
WNC — Nebraska,34,16,4,5,9,2065,1864,549,783,452,82
WNC — Kansas,72,33,6,13,20,1911,1659,550,458,459,199
South Atlantic — total,436,135,60,48,157,61401,54330,13524,8640,23092,
