Type of case or election,Total reruns — Number,Total reruns — Percent by type,Union certified — Number,Union certified — Percent by type,No union chosen — Number,No union chosen — Percent by type,Outcome of original election reversed — Number,Outcome of original election reversed — Percent by type
All representation elections,155,100,42,27.1,113,72.9,39,25.2
By type of case — RC cases,149,100,38,25.5,111,74.5,37,24.8
By type of case — RM cases,5,100,3,60.0,2,40.0,2,40.0
By type of case — RD cases,1,100,1,100.0,0,0,0,0
By type of election — Consent elections,16,100,5,31.3,11,68.7,5,31.3
By type of election — Stipulated elections,91,100,21,23.1,70,76.9,22,24.2
By type of election — Expedited elections,0,100,0,,0,,0,
By type of election — Regional director-directed elections,46,100,15,32.6,31,67.4,11,23.9
By type of election — Board-directed elections,2,100,1,50.0,1,50.0,1,50.0
