row_label,col_1,col_2,col_3
Swift Manufacturing Co,"Nov. 26,1937 Nov. 27,1937","Nov. 28,1937 Nov. 27,1937","Jan. 26,1938"
Swift Spinning Mills,,,Do
Talladega Cotton Mills,"Nov. 26,1937","Nov. 30,1937",
Tampa Inter-Ocean Steamship Co,"Aug. 23,1937","Aug. 24,1937",
,"June 20,1938",(3),
Do,,"26, 14 J. N Fan e ob v ...",
Tegge-Jackman Cigar Co,"Nov. 18,1937",1938 9387,"Mar. 18,1938"
Tennessee Copper Co,"Jan. 13, 1938",,"Mar. 3,1938"
Tennessee Electric Power Co,"Feb. 3,1938",,"May 5,1938"
Tennessee Schuylkill Corporation,"Nov. 29,1937","Nov. 29,1937","Feb. 4,1938"
Terminal Flour Mills Co,"Jan. 19, 1938","Feb. 14, 1938",(I)
Texas Corrugated Box Co,"June 23,1938","June 23,1938",(I)
Texas Mining & Smelting Co,"Feb. 14,1938","Feb. 25,1938",(I)
Teals Stevedoring Co,"June 20,1938",,
Texas Transport & Terminal Co,do,(3)),
The American Boston Mining Co. et al,"June 2,1938","June 8,1938",(I)
The American Brass Co,"Nov. 8,1937","Nov. 8,1937","Apr. 21,1938"
The American Paint Works (Glidden Co.),"Feb. 14,1938","Feb. 22,1938",(I)
The Associated Press Do,"Dec. 6,1937 Jan. 5,1938","Jan. 8,1938 Jan. 6, 1938","Feb. 2,1938"
The Babcock & Wilcox Co,"June 16, 1938","June 16,1938",
The Campbell Machine Co,"Aug. 18,1937","Aug. 18,1937","Oct. 4,1937"
Do,do,do,Do. Do.
Do The Carrollton Metal Products Co,"do Sept. 2,1937","do Jan. 27,1938","Apr. 14,1938"
The DeVilbiss Co,"Mar. 9,1938","Mar. 9, 1938","Mar. 16,1938"
The Falk Corporation,"Aug. 16,1937",Aug.,Apr.
The Indianapolis Times,"June 27,1938","25,1937 June 28,1938","18,1937 4)"
The International Nickel Co,"Mar. 24,1938","Mar. 24, 1938","( May5, 1938"
The Kirsch Co The N. & G. Taylor Co,"Oct. 13,1937","Oct. 13, 1937",(I)
,"Sept. 9, 1937","Sept. 20, 1937",
"The Ohio Foundry Co., plant 1 The Ohio Foundry Co., plants 1, 2, and 3","July 6,1937 do","July 7,1937 do","Sept. 21,1937"
The Perry-Fay Co,"Nov. 22,1937","Nov. 22, 1937","Do. Dec. 16,1937"
The Pittsburgh Plate Glass Co,"Aug. 5,1937","Aug. 5,1937","Nov. 22, 1937"
The Raleigh Hotel Co,"Mar. 24, 1938","Apr. 2,1938","May 21,1938"
The Rex Manufacturing Co,"Nov. 22,1937",,"May 10,1938"
The Sandusky Metal Products Co,"Jan. 28,1938","Dec. 7, 1937 Jan. 28,1938",Mar.
The Serrick Corporation,"Oct. 18, 1937","Nov. 15, 1937","16,193S (I)"
The Sorg Paper Co,"Mar. 18,1938","Mar. 18,1938",(I)
The Texas Co,"Mar. 17, 1938","Mar. 22, 1938","May 13, 1938"
Do,"May 16, 1938","May 28,1938",
The Texas Co. (Refining Department),"Sept. 16,1937","Sept. 17, 1937","Nov. 20,1937"
The Toledo Steel Tube Co,"Mar. 8, 1938","Mar. 8, 1938",(I) (I)
The Walworth Co,"Mar. 18, 1938","Mar. 19, 1938",
Do The Waterbury Clock Co,"do Sept. 30,1937","do Sept. 30,1937",(I) (4)
,,,(2)
Thomas Paper Stock Co,"Jan. 6, 1938","Jan. 5,1938","Mar. 9,"
Tidewater Associated Oil Co,"Dec. 9, 1937","Dec. 10,1937","1938 Mar. 15, 1938"
Do Do,"Dec. 21, 1937 do","Dec. 21, 1937 do",Do. Do.
Do,do,do,"Mar. 14,1938"
Do Do_,"Dec. 22, 1937 Jan. 4, 1938","Dec. 22, 1937 May 20,1938",11)
Do,,,
Do,do do,"do_ May 20,1938",(I)
Do,"May 19,",,
Association Oil Co,1938 Jan.,do,(4)
Publishing Co,"4,1938","Jan. 4, 1938 May",(I)
"Tidewater Dry Docks, Inc","May 2,1938 May 5,1938","6, 1938 May 13,1938",
Times Todd-Johnson Tolby Bros,"Mar. 29, 1938","Mar. 30,1938",(I) (4)
Towns & James,"Nov. 22,1937","Nov. 22,1937",
Tracy-Holmes Fruit Co,"Mar. 29, 1938","Mar. 30,1938",(I)
"Tram Carr, Inc","Sept. 30,1937","Oct. 21, 1937",June
"T. Smith dr Son, Inc","June 20, 1938",(3),
Union-Buffalo Mills Co,"Jan. 13, 1938","Jan. 13,1938","4,1938 Feb. 18,"
Do,do,do,1938 Do.
"Union Bus Co., Inc","July 1, 1937","July 26,1937","Sept. 14, 1937 June 23,"
Union Lumber Co,"Mar. 21, 1938","Mar. 21,1938",
Union Oil Co Do,"Dec. 9,1937","Dec. 10, 1937","1938 Mar. 9,1938"
Do,"Dec. 21,1937","Dec. 21,1937","Mar. 15,1938"
Union Oil Co. of California,do,do,Do.
,"Dec. 22, 1937","Dec. 22,1937","Mar. 14,1938"
Do,,,
"Dec. 21,1937",,,
"Dec. 21,1937",,,
Awaiting Board decision. Withdrawn,,,"Mar. 15, 1938"
,,decision,
,before,,issued.
,,Board,
,,,was
