Action taken,Total all,Employer — Total,Employer — Agreement of parties — Informal settlement,Employer — Agreement of parties — Formal settlement,Employer — Pursuant to recommendation of administrative law judge,Employer — Pursuant Order of — Board,Employer — Pursuant Order of — Court,Union — Total,Union — Agreement of parties — Informal settlement,Union — Agreement of parties — Formal settlement,Union — Pursuant to recommendation of administrative law judge,Union — Pursuant Order of — Board,Union — Pursuant Order of — Court
Declined,1902,1902,973,7,7,72,843,,,,,,
Employees placed on preferential hiring list,674,674,599,0,0,35,40,,,,,,
Hiring hall rights restored,22,,,,,,,22,14,0,0,0,8
Employees receiving backpay — From either employer or union,28562,27582,24245,184,827,1380,946,980,963,0,1,8,8
"Employees reimbursed for fees, dues, and fines — From either employer or union",2922,699,647,0,12,0,40,2223,2195,0,0,28,0
"C. By amounts of monetary recovery, total",211251380,210510640,195455386,467029,3642132,4970370,5775723,740740,466766,109841,1300,41026,121807
"Backpay (including all monetary payments except fees, dues, and fines)",208873052,208394916,194991961,467029,3808897,4061306,5065723,478136,208831,109841,1300,36623,121541
"Reimbursement of fees, dues, and fines",2378328,2115724,463425,0,33235,909064,710000,262604,257935,0,0,4403,266
