row_label,Division and State,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA,Unfair labor practice cases / CB,Unfair labor practice cases / CC,Unfair labor practice cases / CD,Unfair labor practice cases / CE,Unfair labor practice cases / CG,Unfair labor practice cases / CP,Representation cases / All R cases,Representation cases / RC,Representation cases / RM,Representation cases / RD,Union deauthorization cases / UD,Amendment of certification cases / AC,Unit clarification cases / UC
New England (total),2810,2016,1445,469,48,30,5,4,6,15,761,635,30,96,15,14,2
Middle Atlantic (total),9901,7214,4560,2131,294,100,18,,17,126,2502,2109,127,206,64,14,70
East North Central (total),12709,9739,6066,2497,370,84,25,13,84,,2794,2290,153,351,78,29,69
West North Central (total),2961,2041,2073,602,140,36,13,2,39,,1014,891,62,120,27,3,21
