row_label,col_1,col_2
VIII.,Injunction Litigation,142
,1. Injunction Proceedings Under Section 10 (j),143
,a. Refusal to Bargain,143
,b. Preelection Conduct in Waterfront Dispute,144
,2. Injunctions Under Section 10 (1),145
,a. Effect of Settlement Agreement,145
,b. Secondary Strikes and Boycotts in Waterfront Dispute,146
,c. Other Secondary Strikes and Boycotts,146
,"d. Strikes Against Certifications-Meaning of ""Labor Organization""",149
,e. Denial of Injunctions,149
,f. Contempt of Decrees Under Section 10 (1),150
IX.,Miscellaneous Litigation,152
,1. Litigation in Aid of Board Processes,152
,"a. Injunction Against State's ""Labor Board""",153
,2. Suits to Enjoin Representation Proceedings,154
Appendix,A. Statistical Tables for Fiscal Year 1954,155
Tables in Appendix A,Tables in Appendix A,Tables in Appendix A
(Statistical Tables for Fiscal Year 1954),(Statistical Tables for Fiscal Year 1954),(Statistical Tables for Fiscal Year 1954)
"TA TILE 1. Total Cases Received, Closed, and Pending (Complainant or","TA TILE 1. Total Cases Received, Closed, and Pending (Complainant or",Page
"Petitioner Identified), Fiscal Year 1954 1A. Unfair Labor Practice and Representation Cases Received, Closed, and Pending (Complainant or Petitioner Identified), Fiscal",Year 1954,156
"2. Types of Unfair Labor Practices Alleged, Fiscal Year 1954-------157","2. Types of Unfair Labor Practices Alleged, Fiscal Year 1954-------157",
"3 Formal Actions Taken, by Number of Cases, Fiscal Year 1954___","3 Formal Actions Taken, by Number of Cases, Fiscal Year 1954___",157
"4. Remedial Action Taken in Unfair Labor Practice Cases Closed, Fiscal Year 1954","4. Remedial Action Taken in Unfair Labor Practice Cases Closed, Fiscal Year 1954",158
"5. Industrial Distribution of Unfair Labor Practice and Representa- tion Cases Received, Fiscal Year 1954","5. Industrial Distribution of Unfair Labor Practice and Representa- tion Cases Received, Fiscal Year 1954",159
"6. Geographic Distribution of Unfair Labor Practice and Representa- tion Cases Received, Fiscal Year 1954","6. Geographic Distribution of Unfair Labor Practice and Representa- tion Cases Received, Fiscal Year 1954",160
"7. Disposition of Unfair Labor Practice Cases Closed, Fiscal Year 1954","7. Disposition of Unfair Labor Practice Cases Closed, Fiscal Year 1954",161
"Disposition of Representation Cases Closed, Fiscal Year 1954____","Disposition of Representation Cases Closed, Fiscal Year 1954____",161
8. Analysis of Methods of Disposition of Unfair Labor Practice,8. Analysis of Methods of Disposition of Unfair Labor Practice,
"9. Cases Closed, Fiscal Year 1954 Analysis of Methods of Disposition of Representation Cases Closed,","9. Cases Closed, Fiscal Year 1954 Analysis of Methods of Disposition of Representation Cases Closed,",162
10. Fiscal Year 1954,10. Fiscal Year 1954,164
"11. Types of Elections Conducted, Fis,a1 Year 1954","11. Types of Elections Conducted, Fis,a1 Year 1954",165
"12. Results of Union-Shop Deauthorization Polls, Fiscal Year 1954_",_,166
"13 Collective-Bargaining Elections by Affiliation of Participating Unions, Fisdal Year 1954","13 Collective-Bargaining Elections by Affiliation of Participating Unions, Fisdal Year 1954",166
"13A. Outcome of Collective-Bargaining Elections by Affiliation of Participating Unions, and Number of Employees in Units,","13A. Outcome of Collective-Bargaining Elections by Affiliation of Participating Unions, and Number of Employees in Units,",167
"Fiscal Year 1954 13B. Voting in Collective-Bargaining Elections in Which a Representa- tive Was Chosen, Fiscal Year 1954","Fiscal Year 1954 13B. Voting in Collective-Bargaining Elections in Which a Representa- tive Was Chosen, Fiscal Year 1954",168
